step,action_direction,action_tp_mult,position,balance,equity,max_drawdown_pct
97,-0.32327807,-0.6867073,1,10559.209020091217,10826.686560477108,0.0
103,-0.2657665,-0.7379372,-1,10921.304511287339,10912.19611128431,0.0
104,-0.43599987,-0.4662416,-1,10921.304511287339,10957.130884632565,0.0
105,-0.46788222,-0.3918863,-1,10775.977337905804,10761.964548886168,1.7812
106,-0.47525048,-0.43539244,-1,10775.977337905804,10816.14733309539,1.2867
107,-0.44087362,-0.4909492,-1,11181.17757237617,11168.681177230057,0.0
108,-0.31533074,-0.66009474,-1,11181.17757237617,11200.338711600178,0.0
109,-0.4471236,-0.41574454,-1,11181.17757237617,11026.222272564471,1.5546
110,-0.5010771,-0.35186088,-1,10934.50105478017,10923.295304344116,2.4735
111,-0.52692515,-0.33856487,-1,10660.347136977005,10650.158640598056,4.9122
112,-0.54930675,-0.3979047,-1,10660.347136977005,10628.423181656315,5.1062
113,-0.5577285,-0.38821936,-1,10660.347136977005,10572.046835026167,5.6096
114,-0.563668,-0.39662576,-1,10660.347136977005,10537.405947337762,5.9189
115,-0.5703125,-0.3952676,-1,10660.347136977005,10409.710126055,7.059
116,-0.5827977,-0.4212314,-1,10660.347136977005,10413.785524606574,7.0226
117,-0.54688203,-0.4811293,-1,10379.28425346414,10369.436081448755,7.4185
118,-0.46493924,-0.5840457,-1,10379.28425346414,10369.436081448755,7.4185
119,-0.3645813,-0.23643875,-1,10379.28425346414,10234.187852437553,8.6261
120,-0.3802271,-0.22590041,-1,10379.28425346414,10267.67163728984,8.3271
121,-0.3971207,-0.32170308,-1,10379.28425346414,10358.93136463236,7.5123
122,-0.42077464,-0.61378634,-1,10379.28425346414,10607.10529941991,5.2966
123,-0.33499163,-0.70269084,-1,10379.28425346414,10551.955536133779,5.789
124,-0.3665911,-0.30471647,-1,10095.269315192358,10089.109993388473,9.9214
125,-0.30498266,-0.018281698,-1,10408.770725469103,10403.623641837881,7.1133
